raw_string,old_ror_name,new_ror_name,reason,chosen_score
"School of Integrated Chinese and Western Medicine, Hunan University of Chinese Medicine, Changsha, 410208, China",Hebei University of Chinese Medicine,Hunan University of Chinese Medicine,rule_match_disagree,0.89
Longhua Hospital Shanghai University of Traditional Chinese Medicine,Longhua Hospital Shanghai University of Traditional Chinese Medicine,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,1.0
"First Affiliated Hospital of Guangzhou University of Chinese Medicine, Guangzhou, China",First Affiliated Hospital of Guangzhou University of Chinese Medicine,Guangzhou University of Chinese Medicine,rule_match_disagree,1.0
"Shanghai TCM-Integrated Hospital, Shanghai University of Traditional Chinese Medicine, Shanghai, China",Shanghai University,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,1.0
"Guangzhou Univ Chinese Med, Guangdong Prov Hosp, TCM, Guangzhou 510120, Guangdong, Peoples R China",Tianjin Conservatory of Music,Guangzhou University of Chinese Medicine,rule_match_disagree,1.0
"Medical Guarantee Center, Second Affiliated Hospital of Naval Medical University, Shanghai, China",Second Affiliated Hospital of Anhui Medical University,Naval Medical University,rule_match_disagree,0.93
"Department of Emergency and Critical Care, Second Affiliated Hospital of Naval Medical University, Shanghai, China",Second Affiliated Hospital of Anhui Medical University,Naval Medical University,rule_match_disagree,0.93
"Institute of Organ Transplantation, Second Affiliated Hospital of Naval Medical University, Shanghai, China",Second Affiliated Hospital of Anhui Medical University,Naval Medical University,rule_match_disagree,0.93
"Shanghai Univ Tradit Chinese Med, Inst Tradit Chinese Med, Shanghai 201203, Peoples R China",Shanghai University,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,1.0
"Shanghai Hutchison Pharmaceuticals Company, Shanghai 200331, China",Shanghai University,(unmatched),catch_all_no_rule,0.75
"School of Pharmacy, Second Military Medical University, Shanghai, 200433, No. 325 Guohe Road, China",Second Military Medical University,Naval Medical University,rule_match_disagree,1.0
"Second Mil Med Univ, Dept Pharm, Eastern Hepatobiliary Surg Hosp, Shanghai 200438, Peoples R China",Eastern Hepatobiliary Surgery Hospital,Naval Medical University,rule_match_disagree,0.9
"Second Mil Med Univ, Dept Pharmaceut Anal, Sch Pharm, Shanghai 200433, Peoples R China",Shanghai University,Naval Medical University,rule_match_disagree,0.75
"Department of Pharmacy, Changhai Hospital, Second Military Medical University, Shanghai, China",Changhai Hospital,Naval Medical University,rule_match_disagree,1.0
"Department of Gynaecology, Shanghai Shuguang Hospital Affiliated with Shanghai University of Traditional Chinese Medicine, 528 Zhang Heng Road, Zhangjiang Hi-Tech Park, Shanghai, 201203, China",Shanghai University,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,1.0
"UIC Coll Pharm, Dept Med Chem & Pharmacognosy, MC 781, Chicago, IL USA",Israel Cancer Association USA,(unmatched),catch_all_no_rule,0.77
"Department of Cardiology, Affiliated Hospital of Liaoning University of Traditional Chinese Medicine, Shenyang, China",Affiliated Hospital of Liaoning University of Traditional Chinese Medicine,Liaoning University of Traditional Chinese Medicine,rule_match_disagree,1.0
"Key Laboratory of Clinical Pharmacokinetic of TCM, Affiliated Hospital of Liaoning University of Traditional Chinese Medicine, Shenyang, China",Affiliated Hospital of Liaoning University of Traditional Chinese Medicine,Liaoning University of Traditional Chinese Medicine,rule_match_disagree,1.0
"Department of Pharmacology, Shanghai University of Traditional Chinese Medicine, Shanghai, China",Shanghai University,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,1.0
"Department of Clinical Pharmacology, Affiliated Hospital of Nanjing University of Chinese Medicine, Nanjing, China",Nanjing University,Nanjing University of Chinese Medicine,rule_match_disagree,1.0
"TCM Research Institution, the Third Affiliated Hospital of Nanjing University of Chinese Medicine, Nanjing, China",Nanjing University,Nanjing University of Chinese Medicine,rule_match_disagree,1.0
