cluster_id,topic_label,mechanism,observed,expected,topic_total,mech_total,odds_ratio,log2_or_haldane,p_value,direction,q_value,significant
27,metabolites / pharmacokinetic / pharmacokinetics,P-gp_inhibition,3,1.11,18,107,3.1076923076923078,1.804,0.09432719480148187,enriched,0.43068673511440475,False
25,phytochemistry pharmacology / pharmacological activities / p,transporter_modulation,2,0.53,10,92,4.55,2.413,0.09457647899471726,enriched,0.43068673511440475,False
28,medicinal plants / anxiolytic / antiepileptic drugs,additive_toxicity,3,1.14,52,38,2.8880466472303206,1.718,0.10232359904962017,enriched,0.4591477515595521,False
13,drug delivery / bioavailability / nanocarriers,organ_toxicity_modulation,2,0.56,11,88,4.24031007751938,2.32,0.10359638227106624,enriched,0.4591477515595521,False
3,drug interactions / antiretroviral drugs / antiretroviral,receptor_synergism,0,2.9,24,210,0.0,-2.777,0.1045439760947255,depleted,0.4591477515595521,False
1,tacrolimus / cyclosporine / immunosuppressant,synergistic_efficacy,0,2.83,27,182,0.0,-2.714,0.10462967164320161,depleted,0.4591477515595521,False
16,disease nafld / treatment nafld / nafld,additive_toxicity,1,0.11,5,38,11.45945945945946,3.915,0.10475935238706123,enriched,0.4591477515595521,False
3,drug interactions / antiretroviral drugs / antiretroviral,antagonistic_efficacy,1,0.11,24,8,10.602484472049689,3.861,0.10547988887178901,enriched,0.4591477515595521,False
28,medicinal plants / anxiolytic / antiepileptic drugs,organ_toxicity_modulation,0,2.63,52,88,0.0,-2.539,0.10858665357030965,depleted,0.46318632694747985,False
23,antimicrobial / antibiotics / antibacterial,UGT_inhibition,0,2.61,64,71,0.0,-2.524,0.10906763711064885,depleted,0.46318632694747985,False
28,medicinal plants / anxiolytic / antiepileptic drugs,transporter_modulation,0,2.75,52,92,0.0,-2.607,0.10974428342833284,depleted,0.46318632694747985,False
26,herb-drug interactions / drug interactions / anticancer drug,CYP_induction,3,1.21,10,210,3.1490683229813663,1.775,0.10988066798292356,enriched,0.46318632694747985,False
15,gut microbiome / gut microbiota / microbiome,CYP_inhibition,0,2.1,7,522,0.0,-2.696,0.11031971638445044,depleted,0.46318632694747985,False
23,antimicrobial / antibiotics / antibacterial,signaling_pathway_modulation,0,2.87,64,78,0.0,-2.665,0.11350135661647998,depleted,0.47013872068737955,False
19,pharmacology / network pharmacology / docking,receptor_synergism,2,0.6,5,210,4.887820512820513,2.386,0.1135639139498231,enriched,0.47013872068737955,False
3,drug interactions / antiretroviral drugs / antiretroviral,CYP_inhibition,11,7.21,24,522,1.9920216769531838,1.003,0.11442992396506887,enriched,0.4704341318563942,False
14,cardiovascular diseases / treatment cardiovascular / herb-dr,synergistic_efficacy,1,4.08,39,182,0.22070369293399245,-1.617,0.11650280781948225,depleted,0.4756528429595413,False
15,gut microbiome / gut microbiota / microbiome,receptor_antagonism,1,0.12,7,31,9.45,3.686,0.11856416077801077,enriched,0.477482878779472,False
22,network pharmacology / pharmacology molecular / pharmacology,receptor_antagonism,1,0.12,7,31,9.45,3.686,0.11856416077801077,enriched,0.477482878779472,False
30,cyp inhibition / cyp enzymes / cyp isoforms,antagonistic_efficacy,0,2.09,453,8,0.0,-2.593,0.12099067030940766,depleted,0.48396268123763064,False
6,warfarin / patients warfarin / anticoagulants,receptor_antagonism,2,0.62,35,31,3.498432601880878,2.083,0.12744496257842491,enriched,0.5063585090364264,False
