tier,herb_family,mechanism,obs,expected,row_total,col_total,N_tier,OR_raw,OR_ha,log2_OR_ha,p,q,classification
family,Ranunculaceae,P-gp_induction,1,0.41371158392434987,70,5,846,2.7971014492753623,3.7050359712230216,1.8894875493470733,0.3513775236463085,1.0,ns
family,Ranunculaceae,synergistic_efficacy,3,5.295508274231678,70,64,846,0.52483484218253,0.6032520325203252,-0.7291672236057989,0.351751116267456,1.0,ns
family,Theaceae,receptor_antagonism,1,0.425531914893617,24,15,846,2.5093167701863353,3.5590608950843725,1.8314966173896083,0.352962343822884,1.0,ns
family,Apocynaceae,receptor_synergism,2,1.2411347517730495,10,105,846,1.779126213592233,2.084398976982097,1.0596314518110876,0.35794061357246026,1.0,ns
family,Theaceae,CYP_inhibition,9,6.9787234042553195,24,246,846,1.481012658227848,1.5109677419354839,0.5954728603396152,0.36605963435204036,1.0,ns
family,Menispermaceae,CYP_inhibition,2,4.070921985815603,14,246,846,0.4016393442622951,0.48139059304703474,-1.0547201448011518,0.3723165435883913,1.0,ns
family,Magnoliaceae,absorption_alteration,2,1.2907801418439717,21,52,846,1.631578947368421,1.9687738004569688,0.97729736430941,0.3741887337904894,1.0,ns
family,Piperaceae,receptor_synergism,0,1.3652482269503545,11,105,846,0.0,0.3010508963527715,-1.7319206819606996,0.3767711697400586,1.0,ns
family,Apocynaceae,CYP_induction,0,1.5839243498817968,10,134,846,0.0,0.24871658700654983,-2.007425370227096,0.3776032817096617,1.0,ns
family,Animal_derived,CYP_induction,0,1.5839243498817968,10,134,846,0.0,0.24871658700654983,-2.007425370227096,0.3776032817096617,1.0,ns
family,Fabaceae,transporter_modulation,4,6.648936170212766,125,45,846,0.5482765571457368,0.607318161535029,-0.7194755820063985,0.38527674831608505,1.0,ns
family,Ranunculaceae,additive_toxicity,0,1.4066193853427895,70,17,846,0.0,0.3078014184397163,-1.6999282148416766,0.3868287067234476,1.0,ns
family,Berberidaceae,synergistic_efficacy,0,1.3617021276595744,18,64,846,0.0,0.3203435994133669,-1.6423079296913992,0.388298369228095,1.0,ns
family,Acanthaceae,synergistic_efficacy,0,1.3617021276595744,18,64,846,0.0,0.3203435994133669,-1.6423079296913992,0.388298369228095,1.0,ns
family,Theaceae,P-gp_inhibition,0,1.4184397163120568,24,50,846,0.0,0.31218427965245504,-1.679530204075266,0.3911560770673188,1.0,ns
family,Asteraceae,transporter_modulation,0,1.4361702127659575,27,45,846,0.0,0.3094905094905095,-1.6920329249337873,0.39209550695450357,1.0,ns
family,Asteraceae,UGT_inhibition,2,1.3404255319148937,27,42,846,1.558,1.886952311788913,0.9160579627290267,0.39214160697457995,1.0,ns
family,Ginkgoaceae,P-gp_inhibition,0,1.4775413711583925,25,50,846,0.0,0.29955348476024074,-1.7391144781525554,0.39232940681851913,1.0,ns
family,Zingiberaceae,organ_toxicity_modulation,0,1.4869976359338062,37,34,846,0.0,0.2997101449275362,-1.7383601762379592,0.39388562812750555,1.0,ns
family,Menispermaceae,signaling_pathway_modulation,1,0.49645390070921985,14,30,846,2.129973474801061,3.0263653483992465,1.59758616287094,0.39918489232287574,1.0,ns
family,Paeoniaceae,signaling_pathway_modulation,1,0.49645390070921985,14,30,846,2.129973474801061,3.0263653483992465,1.59758616287094,0.39918489232287574,1.0,ns
family,Apiaceae,signaling_pathway_modulation,0,1.6312056737588652,46,30,846,0.0,0.27163758152652917,-1.8802450021561323,0.4011710009426631,1.0,ns
family,Asteraceae,absorption_alteration,0,1.6595744680851063,27,52,846,0.0,0.2658008658008658,-1.9115822909332405,0.40280673761830227,1.0,ns
family,Asteraceae,CYP_induction,6,4.276595744680851,27,134,846,1.5424107142857142,1.6269115917111574,0.7021358553956103,0.41721271915825225,1.0,ns
family,Theaceae,synergistic_efficacy,3,1.8156028368794326,24,64,846,1.7822014051522248,2.0156929476271506,1.0112758885035584,0.4176752556227824,1.0,ns
family,Schisandraceae,synergistic_efficacy,2,3.933806146572104,52,64,846,0.472258064516129,0.5801980198019802,-0.7853827232169093,0.4196415991530459,1.0,ns
family,Amaryllidaceae,transporter_modulation,1,0.5319148936170213,10,45,846,2.0,2.8119455943228857,1.4915686813379425,0.4228168303481666,1.0,ns
family,Apocynaceae,transporter_modulation,1,0.5319148936170213,10,45,846,2.0,2.8119455943228857,1.4915686813379425,0.4228168303481666,1.0,ns
family,Apiaceae,organ_toxicity_modulation,3,1.8486997635933806,46,34,846,1.730682670667667,1.9655172413793103,0.9749090190371695,0.4237050854916027,1.0,ns
family,Asteraceae,additive_toxicity,1,0.5425531914893617,27,17,846,1.9302884615384615,2.7564322469982847,1.4628021404745972,0.4269432081863123,1.0,ns
family,Berberidaceae,CYP_inhibition,7,5.23404255319149,18,246,846,1.5682769113731456,1.6052464373241355,0.6827947967950881,0.4306971082192378,1.0,ns
family,Zingiberaceae,receptor_synergism,6,4.592198581560283,37,105,846,1.3880742913000979,1.4734785036292575,0.5592260133403073,0.44532583213674626,1.0,ns
family,Animal_derived,P-gp_inhibition,1,0.5910165484633569,10,50,846,1.784580498866213,2.511961722488038,1.328814480472602,0.45804317289753704,1.0,ns
family,Zingiberaceae,CYP_inhibition,13,10.75886524822695,37,246,846,1.3390557939914163,1.3604422497050213,0.4440757159903703,0.4590214379101789,1.0,ns
family,Amaryllidaceae,absorption_alteration,1,0.6146572104018913,10,52,846,1.710239651416122,2.4082779764946345,1.2680019253885486,0.4715831012128399,1.0,ns
family,Fabaceae,receptor_antagonism,3,2.2163120567375887,125,15,846,1.4528688524590163,1.6217142857142857,0.6975196673408601,0.47505272534238085,1.0,ns
family,Zingiberaceae,P-gp_inhibition,3,2.186761229314421,37,50,846,1.4305381727158948,1.6285278413424866,0.7035683842860981,0.4757283474937901,1.0,ns
family,Berberidaceae,signaling_pathway_modulation,1,0.6382978723404256,18,30,846,1.6206896551724137,2.323002421307506,1.2159906578946804,0.4814059588199693,1.0,ns
family,Apocynaceae,CYP_inhibition,4,2.9078014184397163,10,246,846,1.6363636363636365,1.6972244250594766,0.763177345972386,0.48795862650691013,1.0,ns
family,Piperaceae,P-gp_inhibition,1,0.6501182033096927,11,50,846,1.6040816326530611,2.2698412698412698,1.182591413278473,0.4904568587290238,1.0,ns
family,Ranunculaceae,CYP_inhibition,23,20.354609929078013,70,246,846,1.213529243392806,1.2252207700459201,0.293041728944924,0.4926595020197756,1.0,ns
family,Zingiberaceae,CYP_induction,4,5.860520094562648,37,134,846,0.6331002331002331,0.6994338651569737,-0.5157404448179534,0.49482630627603397,1.0,ns
family,Apiaceae,transporter_modulation,1,2.4468085106382977,46,45,846,0.38181818181818183,0.5604395604395604,-0.8353692982272006,0.5057139685406865,1.0,ns
family,Apiaceae,P-gp_inhibition,1,2.7186761229314422,46,50,846,0.34058956916099775,0.5004995004995005,-0.998559465640785,0.5133514256533075,1.0,ns
family,Zingiberaceae,synergistic_efficacy,4,2.7990543735224587,37,64,846,1.513131313131313,1.6641174293820156,0.734757241657805,0.517115432865821,1.0,ns
family,Apiaceae,CYP_induction,9,7.286052009456265,46,134,846,1.3135135135135134,1.363559096945551,0.4473772283226171,0.5315629999158944,1.0,ns
family,Zingiberaceae,additive_toxicity,1,0.7434988179669031,37,17,846,1.3767361111111112,1.9763387297633872,0.9828302353178674,0.5359203430786584,1.0,ns
family,Polygonaceae,additive_toxicity,1,0.7635933806146572,38,17,846,1.337837837837838,1.9212121212121211,0.9420168158935914,0.5456723259805902,1.0,ns
family,Rutaceae,organ_toxicity_modulation,1,0.8037825059101655,20,34,846,1.2647527910685805,1.8220436280137773,0.8655575042363174,0.5639221208548172,1.0,ns
family,Apiaceae,receptor_antagonism,1,0.8156028368794326,46,15,846,1.2476190476190476,1.7881773399014778,0.8384898208105744,0.5708016088364181,1.0,ns
