tier,herb_active_compound,mechanism,obs,expected,row_total,col_total,N_tier,OR_raw,OR_ha,log2_OR_ha,p,q,classification
compound,icariin,CYP_induction,0,0.8387096774193549,6,26,186,0.0,0.44847605224963716,-1.1568971447999168,0.5976356498774978,1.0,ns
compound,astragaloside IV,CYP_induction,0,0.8387096774193549,6,26,186,0.0,0.44847605224963716,-1.1568971447999168,0.5976356498774978,1.0,ns
compound,quercetin,CYP_induction,0,0.8387096774193549,6,26,186,0.0,0.44847605224963716,-1.1568971447999168,0.5976356498774978,1.0,ns
compound,triptolide,CYP_induction,0,0.8387096774193549,6,26,186,0.0,0.44847605224963716,-1.1568971447999168,0.5976356498774978,1.0,ns
compound,Astragaloside IV,CYP_induction,0,0.8387096774193549,6,26,186,0.0,0.44847605224963716,-1.1568971447999168,0.5976356498774978,1.0,ns
compound,hyperforin,signaling_pathway_modulation,0,0.9193548387096774,19,9,186,0.0,0.42780026990553305,-1.2249907021664266,0.6013903091771906,1.0,ns
compound,hyperforin,absorption_alteration,0,1.1236559139784945,19,11,186,0.0,0.34894091415830547,-1.518945327986643,0.6071142242290245,1.0,ns
compound,glycyrrhizin,receptor_synergism,0,1.2043010752688172,8,28,186,0.0,0.3106295149638803,-1.686733178655379,0.6087199462041003,1.0,ns
compound,hyperforin,synergistic_efficacy,0,1.2258064516129032,19,12,186,0.0,0.318974358974359,-1.6484876385063705,0.6154821810116791,1.0,ns
compound,emodin,CYP_inhibition,2,1.3870967741935485,6,43,186,1.6951219512195121,1.8674698795180722,0.9010849739273127,0.6233807725443581,1.0,ns
compound,salvianolic acid B,CYP_inhibition,2,1.3870967741935485,6,43,186,1.6951219512195121,1.8674698795180722,0.9010849739273127,0.6233807725443581,1.0,ns
compound,honokiol,receptor_synergism,2,1.3548387096774193,9,28,186,1.6593406593406594,1.9056603773584906,0.9302910281885955,0.6265803419180985,1.0,ns
compound,glycyrrhizin,CYP_inhibition,1,1.8494623655913978,8,43,186,0.46258503401360546,0.6423529411764706,-0.6385618901052117,0.683836223953439,1.0,ns
compound,honokiol,CYP_inhibition,1,2.0806451612903225,9,43,186,0.4017857142857143,0.5626297577854671,-0.8297422353130135,0.6871348829330579,1.0,ns
compound,hyperforin,CYP_inhibition,5,4.39247311827957,19,43,186,1.212406015037594,1.2758620689655173,0.3514723705013778,0.7749904940099925,1.0,ns
compound,berberine,CYP_inhibition,6,5.548387096774194,24,43,186,1.1261261261261262,1.1758558558558558,0.23371121596703348,0.798504291632953,1.0,ns
compound,berberine,additive_toxicity,0,0.5161290322580645,24,4,186,0.0,0.7188208616780045,-0.47629581541811333,1.0,1.0,ns
compound,berberine,UGT_induction,0,0.25806451612903225,24,2,186,0.0,1.310204081632653,0.3897915481197325,1.0,1.0,ns
compound,berberine,antagonistic_efficacy,0,0.25806451612903225,24,2,186,0.0,1.310204081632653,0.3897915481197325,1.0,1.0,ns
compound,berberine,receptor_antagonism,0,0.25806451612903225,24,2,186,0.0,1.310204081632653,0.3897915481197325,1.0,1.0,ns
compound,hyperforin,transporter_modulation,1,1.1236559139784945,19,11,186,0.8722222222222222,1.2162162162162162,0.28239973070072494,1.0,1.0,ns
compound,hyperforin,organ_toxicity_modulation,0,0.6129032258064516,19,6,186,0.0,0.6370808678500987,-0.6504515823094156,1.0,1.0,ns
compound,hyperforin,additive_toxicity,0,0.40860215053763443,19,4,186,0.0,0.9316239316239316,-0.10218039480647813,1.0,1.0,ns
compound,hyperforin,UGT_induction,0,0.20430107526881722,19,2,186,0.0,1.6974358974358974,0.763357093057607,1.0,1.0,ns
compound,hyperforin,antagonistic_efficacy,0,0.20430107526881722,19,2,186,0.0,1.6974358974358974,0.763357093057607,1.0,1.0,ns
compound,hyperforin,receptor_antagonism,0,0.20430107526881722,19,2,186,0.0,1.6974358974358974,0.763357093057607,1.0,1.0,ns
compound,puerarin,CYP_inhibition,2,2.3118279569892475,10,43,186,0.823170731707317,0.9603118355776046,-0.058425136356030194,1.0,1.0,ns
compound,puerarin,receptor_synergism,1,1.5053763440860215,10,28,186,0.6131687242798354,0.8583732057416268,-0.2203230520489839,1.0,1.0,ns
compound,puerarin,CYP_induction,1,1.3978494623655915,10,26,186,0.6711111111111111,0.9380804953560371,-0.09221637122097406,1.0,1.0,ns
compound,puerarin,UGT_inhibition,0,0.7526881720430108,10,14,186,0.0,0.5336617405582923,-0.9060025099905156,1.0,1.0,ns
compound,puerarin,absorption_alteration,0,0.5913978494623656,10,11,186,0.0,0.6853002070393375,-0.5451919720285555,1.0,1.0,ns
compound,puerarin,transporter_modulation,0,0.5913978494623656,10,11,186,0.0,0.6853002070393375,-0.5451919720285555,1.0,1.0,ns
compound,puerarin,organ_toxicity_modulation,0,0.3225806451612903,10,6,186,0.0,1.249084249084249,0.32087078810432,1.0,1.0,ns
compound,puerarin,P-gp_induction,0,0.10752688172043011,10,2,186,0.0,3.323809523809524,1.7328377085435296,1.0,1.0,ns
compound,puerarin,UGT_induction,0,0.10752688172043011,10,2,186,0.0,3.323809523809524,1.7328377085435296,1.0,1.0,ns
compound,puerarin,antagonistic_efficacy,0,0.10752688172043011,10,2,186,0.0,3.323809523809524,1.7328377085435296,1.0,1.0,ns
compound,andrographolide,receptor_synergism,1,1.5053763440860215,10,28,186,0.6131687242798354,0.8583732057416268,-0.2203230520489839,1.0,1.0,ns
compound,andrographolide,CYP_induction,1,1.3978494623655915,10,26,186,0.6711111111111111,0.9380804953560371,-0.09221637122097406,1.0,1.0,ns
compound,andrographolide,P-gp_inhibition,0,0.7526881720430108,10,14,186,0.0,0.5336617405582923,-0.9060025099905156,1.0,1.0,ns
compound,andrographolide,synergistic_efficacy,0,0.6451612903225806,10,12,186,0.0,0.6266666666666667,-0.6742298388182434,1.0,1.0,ns
compound,andrographolide,absorption_alteration,0,0.5913978494623656,10,11,186,0.0,0.6853002070393375,-0.5451919720285555,1.0,1.0,ns
compound,andrographolide,transporter_modulation,0,0.5913978494623656,10,11,186,0.0,0.6853002070393375,-0.5451919720285555,1.0,1.0,ns
compound,andrographolide,signaling_pathway_modulation,0,0.4838709677419355,10,9,186,0.0,0.8395989974937343,-0.252227650877211,1.0,1.0,ns
compound,andrographolide,organ_toxicity_modulation,0,0.3225806451612903,10,6,186,0.0,1.249084249084249,0.32087078810432,1.0,1.0,ns
compound,andrographolide,additive_toxicity,0,0.21505376344086022,10,4,186,0.0,1.8253968253968254,0.8682101274444587,1.0,1.0,ns
compound,andrographolide,P-gp_induction,0,0.10752688172043011,10,2,186,0.0,3.323809523809524,1.7328377085435296,1.0,1.0,ns
